,ID,specz,u_flux,u_err,g_flux,g_err,r_flux,r_err,i_flux,i_err,z_flux,z_err,JUV_flux,JUV_err,KUV_flux,KUV_err,K_flux,K_err,ch1_flux,ch1_err,ch2_flux,ch2_err
0,23351,2.7603161,0.01408635638654232,0.0009549886453896761,0.027036109939217567,0.0017193494131788611,0.03879120945930481,0.0013420707546174526,0.03883438557386398,0.0013802922330796719,0.04143674671649933,0.0017009057337418199,0.04600139438137797,0.004391559025464253,0.04753625825448304,0.004398909482989248,0.03766660010670147,0.0020256467266969343,0.06679791212081909,0.0036125238984823227,0.09750739485025406,0.005337024573236704
1,20537,2.7475305,0.03755825385451317,0.0012322408147156239,0.05365815386176109,0.0017458675429224968,0.06704685837030411,0.0021964760962873697,0.06775966286659241,0.0022343809250742197,0.07577204704284668,0.002558920532464981,0.08211288590282545,0.004345683368672876,0.07055349369274379,0.004394359896349218,0.07692322980857597,0.0009816454112163127,0.08758425712585449,0.004526353906840086,0.1319015920162201,0.0063588968478143215
2,2293,2.154657,0.12201318144798279,0.003937199711799622,0.1112833246588707,0.0035955922212451696,0.11904789507389069,0.0038527012802660465,0.12705613672733307,0.00411004526540637,0.13974545896053314,0.004545913077890873,0.0994408550245085,0.004248672942652204,0.1318897914830244,0.004044842746463624,0.1415043443351506,0.001253607736241265,0.15252357721328735,0.007172653917223215,0.2252575308084488,0.010495439171791077
3,5133,1.870031,0.001211388735100627,0.00013333704555407166,0.002086651511490345,9.558600140735507e-05,0.003255520248785615,0.0002791408041957766,0.005732461344450712,0.00042797098285518587,0.006396067328751087,0.000699254625942558,0.010719252217947964,0.0032642551677480106,0.01974332192858681,0.003875997490595521,0.02156781500188658,0.0008975783869922679,0.03919793665409088,0.002012646524235606,0.05535051226615906,0.0029724182095378637
4,25545,0.5612806,0.002868825802579522,0.0001709083589958027,0.0056266384199261665,0.00031914730789139867,0.01594444550573826,0.0006160635966807604,0.02916235476732254,0.0011079541873186827,0.03646004572510719,0.0015900288708508015,0.07411315894429525,0.0043814080290008415,0.11864541125371991,0.004128277960659204,0.10877562504016935,0.0013585101610929567,0.15369132161140442,0.007196375634521246,0.09653947502374649,0.004811957478523254
5,2278,2.275,0.007848608307540417,0.00031226236023940146,0.00950988382101059,0.0004037985927425325,0.011095475405454636,0.0004917365731671453,0.013878781348466873,0.000574464094825089,0.0179066713899374,0.0007885421509854496,0.018522303977772554,0.00381783294862884,0.03282127103480144,0.004254191647819928,0.03235555690221118,0.0010258343410976672,0.04871717095375061,0.002595543395727873,0.06533734500408173,0.0033281506039202213
6,7814,0.4932566,0.002840296598151326,0.0001721700537018478,0.0048808748833835125,0.0003626416437327862,0.011254137381911278,0.0004597795195877552,0.01960764266550541,0.0007864788640290499,0.026788584887981415,0.0012479476863518357,0.035456116206976786,0.004294960738507085,0.06227765845470014,0.004414806685581063,0.06887133387284507,0.0015898281389109521,0.06031322479248047,0.003752721706405282,0.04911899194121361,0.0028951275162398815
7,11771,3.139332,0.003130222437903285,0.00016626172873657197,0.011970795691013336,0.00039399194065481424,0.019936075434088707,0.0007433075807057321,0.02436310239136219,0.0008759555639699101,0.02842264249920845,0.0012866556644439697,-99.0,-99.0,-99.0,-99.0,0.06468623495457661,0.000987905988397447,0.08207187056541443,0.004065639339387417,0.08648816496133804,0.004228198900818825
8,174,0.6570781,0.017621835693717003,0.0005854525952599943,0.024263108149170876,0.0007850821712054312,0.030785731971263885,0.0010687579633668065,0.049273550510406494,0.0016328274505212903,0.04610927402973175,0.0015962595352903008,0.08382912401912881,0.004337063745578991,0.1294961255897047,0.004059771314936807,0.13733540239441727,0.0011370646358367903,0.21397699415683746,0.01024051383137703,0.2549864649772644,0.011871789582073689
9,398,-99.0,0.0002972109941765666,0.00022215527133084834,0.0024729438591748476,0.0001866751117631793,0.005412229802459478,0.0004280023567844182,0.0061323679983615875,0.000653865747153759,0.008165060542523861,0.0010069384006783366,0.005434097306201836,0.002536751953394558,0.007899811521204067,0.00293535134316126,0.01431817158120648,0.0006741805978056038,0.02151811122894287,0.0023663293104618788,0.024396680295467377,0.0020143648143857718
